Date,Rank,Title,gross,theaters,per_theater,total_gross,Genres,Original Language,Director,Release Date (Theator),Runtime,Distributor,Prod Co.,Box Office (Gross USA)
2020/1/3,16,1917,"$1,031,412",11,"$93,765","$2,721,279","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/1/3,17,IP Man: The Finale,"$979,446",70,"$13,992","$3,177,068",Action,Chinese,Wilson Yip,"Dec 25, 2019",1h 45m,Well Go USA,"Bullet Films, Shanghai Bona Cultural Media, Mandarin Motion Pictures",$4.0M
2020/1/3,18,21 Bridges,"$545,019",476,"$1,145","$28,418,457","Action, Mystery & thriller, Crime, Drama",English,Brian Kirk,"Nov 22, 2019",1h 39m,STX Films,"STX Entertainment, MWM",$28.5M
2020/1/3,19,Jojo Rabbit,"$537,573",209,"$2,572","$21,772,387","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/1/3,20,A Hidden Life,"$394,588",151,"$2,613","$1,407,417",Drama,English,Terrence Malick,,2h 52m,,"Elizabeth Bay Productions, Studio Babelsberg",
2020/1/10,1,1917,"$51,895,705","3,434","$15,112","$54,616,984","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/1/10,2,Star Wars: The Rise of Skywalker,"$20,535,111","4,279","$4,799","$483,645,801","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/1/10,3,Jumanji: The Next Level,"$17,787,994","3,904","$4,556","$260,912,975","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/1/10,4,Just Mercy,"$13,176,655","2,375","$5,548","$13,612,643",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/1/10,5,Like a Boss,"$13,083,588","3,078","$4,251","$13,083,588",Comedy,English,Miguel Arteta,"Jan 10, 2020",1h 23m,Paramount Pictures,Artists First,$22.1M
2020/1/10,6,Little Women,"$12,110,043","3,216","$3,766","$78,491,052","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/1/10,7,Underwater,"$9,220,707","2,791","$3,304","$9,220,707","Drama, Adventure",English,John Sturges,,1h 37m,,RKO Radio Pictures Inc.,
2020/1/10,8,Knives Out,"$7,780,643","2,060","$3,777","$141,677,387","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/1/10,9,Frozen II,"$7,528,648","2,655","$2,836","$461,151,690","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/1/10,10,Spies in Disguise,"$6,318,438","2,671","$2,366","$55,826,867","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/1/10,11,Uncut Gems,"$4,961,927","2,081","$2,384","$44,928,599","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions",$50.0M
2020/1/10,12,The Grudge,"$4,725,926","2,642","$1,789","$19,132,641","Horror, Mystery & thriller",English,Takashi Shimizu,"Oct 22, 2004",1h 30m,Sony Pictures Entertainment,"Senator International, Ghost House Pictures",$110.2M
2020/1/10,13,Weathering With You,"$3,046,250","1,020","$2,987","$3,046,250","Drama, Fantasy, Anime",Japanese,Makoto Shinkai,"Jan 15, 2020",1h 51m,GKIDS,"Kadokawa, Beijing Enlight Pictures, CoMix Wave Films, China Film Group Corporation, Toho Animation",$7.8M
2020/1/10,14,Bombshell,"$2,216,685","1,289","$1,720","$28,664,908",Sci-fi,English,Paul Wynne,,1h 36m,,,
2020/1/10,15,Parasite,"$1,585,913",345,"$4,597","$25,988,645","Horror, Sci-fi",English,,,1h 30m,,,
2020/1/10,16,Ford v. Ferrari,"$1,154,783",567,"$2,037","$111,810,388","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/1/10,17,Cats,"$808,410",818,$988,"$26,647,835",Musical,English (United Kingdom),David Mallet,,2h 0m,,,
2020/1/10,18,A Beautiful Day in the Neighborhood,"$795,838",519,"$1,533","$60,203,849","Biography, Drama",English,Marielle Heller,"Nov 22, 2019",1h 47m,"TriStar Pictures, Sony Pictures Entertainment","Big Beach, TriStar Pictures",$61.7M
2020/1/10,19,Queen & Slim,"$542,105",442,"$1,226","$43,648,410","Crime, Drama, Romance",English,Melina Matsoukas,"Nov 27, 2019",2h 12m,Universal Pictures,,$43.8M
2020/1/10,20,IP Man: The Finale,"$469,151",119,"$3,942","$3,646,219",Action,Chinese,Wilson Yip,"Dec 25, 2019",1h 45m,Well Go USA,"Bullet Films, Shanghai Bona Cultural Media, Mandarin Motion Pictures",$4.0M
2020/1/17,1,Bad Boys For Life,"$86,644,165","3,775","$22,952","$86,644,165","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/1/17,2,1917,"$33,466,325","3,612","$9,265","$88,083,309","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/1/17,3,Dolittle,"$32,184,730","4,155","$7,746","$32,184,730","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/1/17,4,Jumanji: The Next Level,"$14,632,825","3,323","$4,403","$275,545,800","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/1/17,5,Star Wars: The Rise of Skywalker,"$12,764,339","3,058","$4,174","$496,410,140","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/1/17,6,Little Women,"$10,536,349","2,503","$4,209","$89,027,401","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/1/17,7,Just Mercy,"$9,410,739","2,457","$3,830","$23,023,382",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/1/17,8,Knives Out,"$6,538,535","1,667","$3,922","$148,215,922","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/1/17,9,Frozen II,"$6,111,878","2,080","$2,938","$467,263,568","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/1/17,10,Like a Boss,"$5,913,441","3,081","$1,919","$18,997,029",Comedy,English,Miguel Arteta,"Jan 10, 2020",1h 23m,Paramount Pictures,Artists First,$22.1M
2020/1/17,11,Underwater,"$5,490,277","2,791","$1,967","$14,710,984","Drama, Adventure",English,John Sturges,,1h 37m,,RKO Radio Pictures Inc.,
2020/1/17,12,Spies in Disguise,"$4,432,874","1,761","$2,517","$60,259,741","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/1/17,13,Parasite,"$2,950,360",843,"$3,500","$28,939,005","Horror, Sci-fi",English,,,1h 30m,,,
2020/1/17,14,Weathering With You,"$2,813,395",486,"$5,789","$5,859,645","Drama, Fantasy, Anime",Japanese,Makoto Shinkai,"Jan 15, 2020",1h 51m,GKIDS,"Kadokawa, Beijing Enlight Pictures, CoMix Wave Films, China Film Group Corporation, Toho Animation",$7.8M
2020/1/17,15,Jojo Rabbit,"$2,445,565","1,005","$2,433","$24,574,637","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/1/17,16,Uncut Gems,"$2,049,756",930,"$2,204","$46,978,355","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions",$50.0M
2020/1/17,17,Ford v. Ferrari,"$1,720,487","1,080","$1,593","$113,530,875","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/1/17,18,The Grudge,"$1,315,023",977,"$1,346","$20,447,664","Horror, Mystery & thriller",English,Takashi Shimizu,"Oct 22, 2004",1h 30m,Sony Pictures Entertainment,"Senator International, Ghost House Pictures",$110.2M
2020/1/17,19,Bombshell,"$1,012,510",410,"$2,470","$29,677,418",Sci-fi,English,Paul Wynne,,1h 36m,,,
2020/1/17,20,Once Upon a Time…in Hollywood,"$555,802",705,$788,"$141,713,823","Comedy, Drama",English,Quentin Tarantino,"Jul 26, 2019",2h 39m,"Sony Pictures Entertainment, Columbia Pictures","Columbia Pictures, Bona Film Group, Heyday Films",$142.4M
2020/1/24,1,Bad Boys For Life,"$43,732,366","3,775","$11,585","$130,376,531","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/1/24,2,1917,"$21,503,080","3,937","$5,462","$109,586,389","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/1/24,3,Dolittle,"$15,334,090","4,155","$3,691","$47,518,820","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/1/24,4,The Gentlemen,"$14,431,089","2,165","$6,666","$14,431,089","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/1/24,5,Jumanji: The Next Level,"$9,671,353","3,121","$3,099","$285,217,153","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/1/24,6,The Turning,"$8,655,440","2,571","$3,367","$8,655,440",Drama,English,"Jonathan auf der Heide, Tony Ayres, Robert Connolly, Jub Clerc",,3h 0m,,"Arenamedia, Screen Australia",
2020/1/24,7,Star Wars: The Rise of Skywalker,"$7,452,881","2,800","$2,662","$503,863,021","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/1/24,8,Little Women,"$6,728,231","2,528","$2,661","$95,755,632","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/1/24,9,Just Mercy,"$5,618,027","2,408","$2,333","$28,641,409",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/1/24,10,Knives Out,"$4,768,842","1,677","$2,844","$152,984,764","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/1/24,11,Frozen II,"$3,373,802","1,750","$1,928","$470,637,370","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/1/24,12,Parasite,"$2,830,271","1,060","$2,670","$31,769,276","Horror, Sci-fi",English,,,1h 30m,,,
2020/1/24,13,Spies in Disguise,"$2,150,385","1,323","$1,625","$62,410,126","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/1/24,14,Like a Boss,"$2,059,417","1,723","$1,195","$21,056,446",Comedy,English,Miguel Arteta,"Jan 10, 2020",1h 23m,Paramount Pictures,Artists First,$22.1M
2020/1/24,15,Jojo Rabbit,"$2,053,774","1,160","$1,770","$26,628,411","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/1/24,16,Underwater,"$1,647,822","1,677",$983,"$16,358,806","Drama, Adventure",English,John Sturges,,1h 37m,,RKO Radio Pictures Inc.,
2020/1/24,17,The Last Full Measure,"$1,565,443",614,"$2,550","$1,565,443","War, Drama",English,Todd Robinson,"Jan 24, 2020",1h 56m,Roadside Attractions,"SSS Entertainment, Foresight Unlimited, Provocator, Lightbox Pictures",$2.9M
2020/1/24,18,Ford v. Ferrari,"$1,164,979",804,"$1,449","$114,695,854","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/1/24,19,Weathering With You,"$1,007,918",458,"$2,201","$6,867,563","Drama, Fantasy, Anime",Japanese,Makoto Shinkai,"Jan 15, 2020",1h 51m,GKIDS,"Kadokawa, Beijing Enlight Pictures, CoMix Wave Films, China Film Group Corporation, Toho Animation",$7.8M
2020/1/24,20,Uncut Gems,"$970,998",490,"$1,982","$47,949,353","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions",$50.0M
2020/1/31,1,Bad Boys For Life,"$23,945,676","3,705","$6,463","$154,322,207","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/1/31,2,1917,"$13,956,520","3,987","$3,501","$123,542,909","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/1/31,3,Dolittle,"$9,781,165","3,750","$2,608","$57,299,985","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/1/31,4,The Gentlemen,"$8,240,892","2,675","$3,081","$22,671,981","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/1/31,5,Gretel & Hansel,"$8,024,240","3,007","$2,669","$8,024,240","Horror, Fantasy",English,Oz Perkins,"Jan 31, 2020",1h 27m,Orion Pictures,Automatic Pictures,$15.3M
2020/1/31,6,Jumanji: The Next Level,"$7,713,258","2,945","$2,619","$292,930,411","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/1/31,7,Little Women,"$4,592,511","2,301","$1,996","$100,348,143","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/1/31,8,Star Wars: The Rise of Skywalker,"$4,458,457","2,202","$2,025","$508,321,478","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/1/31,9,The Turning,"$3,955,890","2,571","$1,539","$12,611,330",Drama,English,"Jonathan auf der Heide, Tony Ayres, Robert Connolly, Jub Clerc",,3h 0m,,"Arenamedia, Screen Australia",
2020/1/31,10,The Rhythm Section,"$3,892,991","3,049","$1,277","$3,892,991","Action, Mystery & thriller",English,Reed Morano,"Jan 31, 2020",1h 49m,Paramount Pictures,"Eon Productions Ltd., IM Global",$4.9M
2020/1/31,11,Knives Out,"$3,606,886","1,555","$2,320","$156,591,650","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/1/31,12,Just Mercy,"$3,208,703","1,807","$1,776","$31,850,112",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/1/31,13,Frozen II,"$2,296,304","1,392","$1,650","$472,933,674","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/1/31,14,Parasite,"$2,203,002","1,060","$2,078","$33,972,278","Horror, Sci-fi",English,,,1h 30m,,,
2020/1/31,15,Jojo Rabbit,"$2,118,539","1,173","$1,806","$28,746,950","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/1/31,16,2020 Oscar Shorts,"$1,830,444",465,"$3,936","$1,830,444",Drama,English,,,,,,
2020/1/31,17,Spies in Disguise,"$1,505,541","1,028","$1,465","$63,915,667","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/1/31,18,Ford v. Ferrari,"$1,000,838",924,"$1,083","$115,696,692","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/1/31,19,The Last Full Measure,"$754,482",617,"$1,223","$2,319,925","War, Drama",English,Todd Robinson,"Jan 24, 2020",1h 56m,Roadside Attractions,"SSS Entertainment, Foresight Unlimited, Provocator, Lightbox Pictures",$2.9M
2020/1/31,20,Like a Boss,"$707,427",665,"$1,064","$21,763,873",Comedy,English,Miguel Arteta,"Jan 10, 2020",1h 23m,Paramount Pictures,Artists First,$22.1M
2020/2/7,1,Birds of Prey (And the Fantabulous Emancipation…,"$42,158,302","4,236","$9,952","$42,158,302","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/2/7,2,Bad Boys For Life,"$15,700,099","3,530","$4,448","$170,022,306","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
2020/2/7,3,1917,"$12,782,075","3,548","$3,603","$136,324,984","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment",$159.2M
2020/2/7,4,Dolittle,"$8,151,530","3,462","$2,355","$65,451,515","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey",$77.0M
2020/2/7,5,Jumanji: The Next Level,"$7,085,875","2,729","$2,597","$300,016,286","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/2/7,6,The Gentlemen,"$5,852,082","2,557","$2,289","$28,524,063","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",1h 53m,STX Films,Toff Guy,$36.5M
2020/2/7,7,Gretel & Hansel,"$4,657,677","3,007","$1,549","$12,681,917","Horror, Fantasy",English,Oz Perkins,"Jan 31, 2020",1h 27m,Orion Pictures,Automatic Pictures,$15.3M
2020/2/7,8,Parasite,"$3,715,266","1,060","$3,505","$37,687,544","Horror, Sci-fi",English,,,1h 30m,,,
2020/2/7,9,Little Women,"$3,454,863","1,805","$1,914","$103,803,006","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/2/7,10,Star Wars: The Rise of Skywalker,"$3,164,885","1,746","$1,813","$511,486,363","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/2/7,11,Knives Out,"$3,119,367","1,443","$2,162","$159,711,017","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/2/7,12,Just Mercy,"$2,130,054","1,315","$1,620","$33,980,166",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",2h 16m,Warner Bros. Pictures,Netter Productions,$36.0M
2020/2/7,13,Jojo Rabbit,"$2,108,358","1,096","$1,924","$30,855,308","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",1h 48m,Fox Searchlight,Unison Films,$33.4M
2020/2/7,14,The Turning,"$1,915,235","1,848","$1,036","$14,526,565",Drama,English,"Jonathan auf der Heide, Tony Ayres, Robert Connolly, Jub Clerc",,3h 0m,,"Arenamedia, Screen Australia",
2020/2/7,15,Frozen II,"$1,754,029","1,131","$1,551","$474,687,703","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/2/7,16,The Rhythm Section,"$1,504,516","3,049",$493,"$5,397,507","Action, Mystery & thriller",English,Reed Morano,"Jan 31, 2020",1h 49m,Paramount Pictures,"Eon Productions Ltd., IM Global",$4.9M
2020/2/7,17,Spies in Disguise,"$1,226,737",800,"$1,533","$65,142,404","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/2/7,18,2020 Oscar Shorts,"$1,122,305",536,"$2,094","$2,952,749",Drama,English,,,,,,
2020/2/7,19,Uncut Gems,"$1,013,340","1,142",$887,"$49,598,853","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions",$50.0M
2020/2/7,20,Ford v. Ferrari,"$936,826",743,"$1,261","$116,633,518","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/2/14,1,Sonic The Hedgehog,"$80,301,671","4,167","$19,271","$80,301,671","Kids & family, Comedy, Adventure, Fantasy",English,Jeff Fowler,,1h 40m,,"Original Film, Paramount Pictures",
2020/2/14,2,Birds of Prey (And the Fantabulous Emancipation…,"$23,365,713","4,236","$5,516","$65,524,015","Action, Comedy",English,Cathy Yan,"Feb 7, 2020",1h 49m,Warner Bros. Pictures,"DC Entertainment, Clubhouse Pictures (II), Kroll & Co. Entertainment",$84.1M
2020/2/14,3,Fantasy Island,"$15,987,070","2,784","$5,742","$15,987,070",Adventure,English,Richard Lang,,1h 40m,,Columbia Pictures Television,
2020/2/14,4,Bad Boys For Life,"$15,293,339","3,185","$4,802","$185,315,645","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures",$204.3M
