별점,리뷰내용
평점5,"고민고민 끝에 구매한 '서피스 프로 9'... 매우 만족하며 잘 사용하고 있답니다. '할인할 때 놓치지말고 구매'하는 것으로 '추천'합니다.^^
개인적으로 사용해보면서 느꼈던 점들을 알려드릴께요.

<좋은점>
집과 사무실에서 업무용과 일상생활~그리고 웬만한 게임까지 시원하게 잘 돌아가네요^^
윈도우11이 기본 셋팅되어 있어 OS설치하는 번거로움도 없었습니다. . 이보(evo)인증?까지 받아서 그런지 최적화가 상당히 잘 되어 있다고 느껴지네요. .
거는 아실 것 같고~세련된 디자인은 덤이네요. 가벼워서 매일매일 가방에 넣고 . .
참고로, 저는 MS 아크마우스를 별도로 구매해서 들고 다니는데, 블루투스 바로연결해서 사용하는거라 이쁘고 ~
(다만, 주로 게임용으로 사용하실때는 다른 마우스가 좋으니 참고하세요. 블루투스 직접연결이라 그런지 버튼이 한개라 게임용으로 부적합해요.ㅋ)

<아쉬운 점>
가장 고민되던 부분이 가격이었어요.
제가 고사양은 아니지만 일반적인 게임은 돌아가는 노트북을 찾고 있었기때문에 i7 / 256G 사양을 구매했는데, 정가가 200만원이 훌쩍 넘길래 너무 부담되더라구요. 사실 동일 사양의 노트북은 서피스프로9 보다는 많이 저렴하죠?^^ 열심히 쇼핑몰을 뒤지던 중에 마소전문관에서 할인행사하길래 앞도뒤도 안돌아보고 바로 구매했답니다.
그리고, 제품에 동봉된 기본충전기가 접지가 안된 제품이라 그런지 충전중에 본체에 손갖다대면 전기흐르는 느낌이 나요.ㅠㅠ 그래도 키보드는 금속재질이 아니라 전혀 느껴지지 않는답니다. 민감한 분들은 별도의 PD충전기를 구매하시는게 좋을 것 같아요.

<현재 고민중인 부분은?>
집과 사무실을 오가며 사용하다보니, PD충전되는 보조배터리를 하나 구매해야 겠다는 생각이 드네요. 서피스를 너무 많이 사용하게 된다는 ㅋㅋ

이상 구매해서 3주가량? 사용해본 느낌이었습니다.
고사양의 게임/그래픽작업은 필요없고 웬만한 프로그램은 다 돌릴수 있는 노트북을 찾는 분들께 추천합니다. 단, 할인할때 구매하시는걸로~^^"
평점5,좋은 제품 정말 저렴하게 잘 샀습니다. 2014년에 산 레노보 X240s를 아직까지 사용하다가 더이상은 못 참겠어서 여러가지 대안을 살펴보고있었는데 때마침 가지고 싶었지만 비싸서 항상 아쉬워하던 Surface pro9이 저렴하게 나와 구매하였습니다. 구매히고 보니 역시 하드웨어 명가 마소 답게 아주 만족스러운 퀄리티를 보여주았네요. 앞으로는 악세사리 사는데 돈이 좀 나갈 것 같네요. 윈도우 노트북??(태블릿)으로는 최고인것 같습니다.
평점5,"드디어 한달을 사용하였네요.
서피스프로9 / 10점 만점에 8점을 주고 싶네요.
좋습니다.

기대 -실망-만족!
기대해서 샀지만 아이패드만큼 , 그리고 갤탭이나 .
그러나 지금은 상당히 .

왜냐하면?! . .
1. 저는 패드가 아닌 노트북이 필요했더라고요. 물론 꿩 먹고 알도 먹고자하는 욕심은 있었으나. . . 확실히 노특북이 필요했던 겁니다. 아님 다른걸 샀겠죠.
2. 실제 활용 가능한 앱이 마이크로소프트에서는 없지만, 쓰다보니 나름 대체 가능한 프로그램이 있어서 사용 중 입니다. 특히 마이크로소프트에서 기본적으로 생산하는 소프트웨어가 유용하더군요. 이전에 컴터에서는 잘 쓰지않던 원노트나 원드라이버, 글고 요즘 인터넷 bing이 챗GPT로 유명한데 그뿐 아니라 pdf같은 파일 보거나 수정하는데 유용해요. 글고 무엇보다 특히 윈도우11이 진짜 2n1 제품을 고려한 윈도우체제라는데서 .
3. 세번째는 갤북프로360과 비교될 것인데, 진짜 . 다소
무겁긴 해도 저같이 이동량이 많지 않다면 참 편하고 좋습니다. 물론 가방에 넣어다니면 무거운지도 잘 몰라요. 서피스는 패드처럼 본체만 따로 분리되어 사용하니 터치로 딱 딱 딱 ㅎ ! 글고 납작 펜이 의외로 또 굿입니다. 필기감이 손색없고요. 편의 기능이 삼성펜보다 훨 낫습니다.

예수님의 말씀처럼 제가 욕심을 부리지않았더라면 첨부터 만족했을 제품입니다

구매고려하시는 분들도
과욕하지 않으면 분명 만족할겁니다.

다만 패드처럼 화면 회전이 매끄럽지 못합니다.
프로그램 작동시 회전을 자주하면. . . ㅋ
작업중 끄짐 조심해야합니다.
이는 본사에서 꾸준한 업뎃이 필요한 부분인듯 싶네요 ㅎ"
평점5,"우선 배송이 빨라서 좋았어요.
그라파이트이지만 플래티넘의 잿빛 도시감성 느껴져서 다행이었습니다 감동ㅜ
사진상에는 그라파이트가 단순 검정처럼 보이지만 서피스 특유의 알루미늄 단면의 영롱함이 느껴져요.

디스플레이는 이전 서피스(서피스 고 사용)에서 못느꼈건 쨍함이라 너무 좋네요.

, 밝기에 따라 밝은 회색처럼 보이기도 해요.

한달 사용 후기로 돌아올게요~"
평점5,"이동성이 편하고 필기하기 편하고 다른 기기들과 호환성 좋은 태블릿 찾았어요!다음날 낮에 받는 초고속 배달임. 오래 안기다려서 햅삐

원래 2in1 노트북 썼는데 필기할때 키보드를 뒤집어서 쓰는게 너무 불편하고 신경 쓰였는데
서피스프로는 필기할때 키보드 때고, 작업할때 붙이니 넘 편해요.

아이패.드 운영체제는 애.플아닌 기기와 호환이 불편했는데
서피스는 노트북이라 걱정할 필요도 없고 생산성 굿이요

. 펜 자체를 살짝 마찰있게 만들어서 . 그래서 종이질감 필름 필요 없어요. 붙였다 바로 땠으니 참고하세요 ㅠ(헛돈 소비는 저만 하길)

서피스프로 최고👍"
평점5,"■ 서피스 프로9 구매후기
일단 주식을 하시는 분들에게 꼭 강추드립니다. 저는 기존 데스크탑과 갤북360을 사용하고 있었습니다. 하지만 누어서 탭처럼 쓰고 싶다는 욕구가 무척이나 강했고, 일주일 동안 고민하다가 구매하였습니다.

장점 : 무엇보다 편의성과 활용도 입니다. 무게가 노트북의 2/3으로 눕어서 영상 시청 또는 글을 읽기 좋고 간편하게 직장이나 카페에 들고 다닙니다.
또, 탭과 달리 윈도우 기반으로 HTS를 활용할 수 있다는 점과 필기하는 느낌이 흡사 공책에 직접 적는 느낌입니다.(보호필름 종이재질 부착) 그리고 오피스 툴을 많이 사용하는 저로써 원드라이브 및 노트 등 죄다 . 짱짱!!

한 가지 추천 드리는 사항은 꼭 보호필름 구매해서 붙이세요. 사고 다음날 야외에서 사용 중 한번 떨어트렸는데ㅎㅎ 다행이 외부표면이랑 보호필름에 기스가 나서.. 꼭 사서 붙이세요.

구매를 고민하시는 분들이 있으시면, 확실히 돈값하니까 고민마시고 ."
평점5,"이제 갬성은 MS

S사 노트북을 사용한 지 어느덧 12년째.. 살려달라고 하기에 어떤 걸 살까 고민하던 중 서피스 프로 9이 눈에 들어왔고 직접 두 눈으로 보고 두 손으로 만지고 온 몸으로 느끼고 싶어 MS 오프라인 매장을 찾아가 보니 할인에 상품권 증정까지 하고 있던 찰나, 온라인 공식몰에서 더 엄청난 할인 혜택이 있기에 바로 질러버렸어요 ㅎㅎ

터치 반응도 좋고 아무런 불편함을 못 느끼네요
다들 빨리 구매하세요 고민은 배송만 늦출뿐!!!"
평점5,"한달 사용했는데 만족합니다. 사실 문서작업, 웹서핑, 메신저 사용, 줌 사용 등 사용하는 용도가 단순하고 저는 한정적인 편이라 딱 좋았어요. 노트북 보다는 가벼워서 들고다니기 좋았고 휴대성이 좋은 게 무엇보다 마음에 들었습니다. 카페 갈 때 노트북 들고다니는 건 조금 부담스러웠는데, 서피스프로는 그렇게 가벼운 건 아니지만 그래도 크기나 무게 이런게 파우치나 에코백 같은 곳에 넣고다니며 쓰기엔 노트북보다는 좋았던 것 같아요. 휴대성이 좋은 게 일단 제일 맘에 들었구요. 태블릿처럼 사용할 수 있는 것도 저는 좋았어요. 가끔 영상 보거나, 영상 만들거나 할때도 터치가 되는게 좋더라구요. 터치 되는 건 검색용으로 사용할때도 편리하고 좋았던 것 같아요. 영상 볼때 태블릿보다는 서피스프로 화면이 좀 더 커서 보기 편한 면도 있었던 것 같구요.
게임도 하고, 노트북으로 크게 대단한걸 하지않고 저처럼 평범하게 사용하시는 분들은 잘 맞을 것 같습니다."
평점5,"서피스프로8이 할인을 많이하고 서피스프로9 5g모델하고 고민을 많이 하다가 할인을 많이 하고 있다보니 이모델을 구입했습니다. 업무용으로 구매했고 외부에서 사용하기 편할 것 같아서 구매했는데 너무 마음에 듦니다.
아이패드 프로도 사용하다 팔았는데 윈도우운영체제 위주 사용자라면 괜찮은 선택지라 말씀드릴 수 있을 것 같습니다.
evo인증이 이렇게 편한 줄 써보니 알겠네요."
평점5,"생각하는거보다 성능이 좋아요.
제가 건축쪽 계열에 일을해서 사용하는 프로그램들이 다소 작업하는데 무리가 있을거라 생각했는데 많이 무겁지만 않다면 무리없이 잘 돌아갑니다.

1.스케치업 - 모델링을 하는덴 무리가 있을 수 있지만 작업이 다 된 작업물을 열어보고 확인 가능하며, 수정 할 부분이 있다면 간단하게 수정이 가능할거같습니다.

2.인디자인 및 포토샵 열람 및 간단한 수정가능( 파일이 작업자에 따라 용량이 천차만별이라 저장을 자주하며 램에 무리만안가면 충분합니다.)

3.캐드 캐드는 무리없이 사용가능합니다!

4.다들 필기하는데 좀 불편하다 했지만 어도비 아크로벳에 바로 전 불편한 문제는 없어요 :) 아이패드도 있는데 필기감은 아이패드에도 안꿀리는 필기감입니다.

5.확실히 인텔 CPU라서 베터리 러닝타임이 짧습니다... ㅠㅠ

다른 인터넷이나 블로그, 카페에선 이런 프로그램 관련한 리뷰가 부족해서 사면서 이번에 마이크로소프트에서 60일 프리리턴 이벤트가 있어서 이기회에 미루다 결심했는데 후회없습니다!ㅎㅎ"
평점5,"라이브 사전예약날 주문하고 제품을 받기까지 오래 걸려서 힘들었지만, 제품을 배송 받고 난 후 서피스프로9라는 제품의 황홀함에 신기하게도 너무 좋았습니다.
저는 원래 애플(IOS) 생태계 사용자였지만 갑자기 저도 모르는사이에 서피스병에 걸려서 제품을 구매하게되었습니다. 후회할까 고민도 많이 했지만 그런 고민은 아예 필요없던거라고 자신있게 말할 수 있습니다. 외관은 기본적으로 너무 아름다운 디자인과함께 날렵하지만 매끈한 느낌까지줘서 너무 고급스럽습니다. 또한 때로는 태블릿으로 때로는 노트북으로 사용이 가능하고 대부분 부착식 키보드의 단점인 키보드 아쉬움이 단 1도 느껴지지 않았습니다. 키보드 키캡의 높이도 적당하고 일반 일체형 노트북들보다도 좋은 키보드감을 주었습니다. 서피스펜2도 너무 휼륭했으며 필압의 섬세함까지 어느 한 부분의 아쉬움도 용납하지않는 마소의 완벽주의에 그지없이 감탄만 나올 뿐 입니다. 서피스펜2의 무게도 가볍고 충전기또한 너무 가벼워서 들고 생각이 듭니다. 지금 구매를 망설이는분들께 제가 드리고 싶은 말은 “고민은 배송만 늦출 뿐..”입니다. ^.^ 따봉~!"
평점5,"12세대 인텔 코어 i7 프로세서가 탑재된 마이크로소프트 서피스 프로 9을 살펴봤습니다. 직장인이나 대학생에게 추천할 만한 노트북으로, 작지도 크지도 않은 13인치의 화면에서, 쉽고 간단하게 콘텐츠를 활용할 수 있었는데요. 하이브리드형 P코어와 E코어의 빅-리틀 코어가, 멀티 코어로, 내장 그래픽을 필요로 하는 간단한 편집 작업이나, 재택근무 및 영상 시청 환경 등 다양한 활용성에 초점을 맞춘 모델이었습니다. 가벼운 업무가 주를 이루는 대학생이나 직장인이라면, 사용과 휴대가 편리한 마이크로소프트 노트북을 추천드립니다."
평점5,"작년 출시했을때 할인가로 구매 못해서 후회하고 있었는데 이번에 학생할인 받아서 저렴한 가격에 구매했습니다! i5가격으로 i7 제품 살 수 있어서 너무 좋아요!! 아쉬운건 색상 선택이 없는거 뿐이네요 ㅠㅠㅠ 그래도 받자마자 감탄 나오는 자태였습니다..
개봉 후 처음 느낀건 역시 2in1은 서피스를 따라올 사람이 없네요 ㅠㅠ 후기 찾아봤을때 버벅거림이 있다고 해서 걱정했는데 아직까지는 크게 불편사항을 못느낄 정도에요
게임도 돌아갈수 있다고 하는데 하는 게임이 없어서 이건 아직 확인 못해봤습니다..
15인치 lg노트북 사용하다가 너무 크고 무거워서 13인치로 바꾼건데도 화면이 시원시원 하네요!!
무게도 키보드를 포함해도 들고다니기 괜찮을 정도에요!!
타자감도 좋아서
갤탭도 사용하는데 안드로이드가 아닌 윈도우 필요해서 구매한건데 태블릿이랑 차이도 못느낄 정도로 !
ssd도 교체가능하다고 하니까 사용하다가 부족하면 한번 교체도 도전해봐야겠습니다!!!!
컴퓨터 전문가가 아니라서 열심히 후기 찾아보고 고민해서 구매했는데 역시 고민은 배송만 늦어질뿐이였습니다.. 현재 만족도 100%에요!!"
평점5,일단 서피스 프로9 자체가 업무 생산성이 너무 좋네요. 갤탭 울트라 갤북360 다들고 있는데 문서작업이 많고 필기작업이 많은 저에게는 서피스가 많이 유용하네요. 무게도 적절합니다. 무엇보다도 마소 계정으로 연결만 되어 있다면 기존 노트북 설정을 불러들여 자동으로세팅해주던데 이 부분이 정말 크게 마음에 들었습니다. 다만 불만이라면 화면비... 이지만 해상도가 좋은만큼 그걸 커버해줍니다. 외관상 케이스는 필수로 보여 케이스부터 질러야 하네요. 기스나면 눈에 너무 띄일것같아 걱정입니다 ㅎㅎ...
