,FCLTY_NM,EVENT_SDIV_NM,EVENT_NM,RENTLSPCE_BEGIN_DE,RENTLSPCE_END_DE,REQST_EVENT_NMPR_CO,EXCCLC_EVENT_NMPR_CO,ISE_ELSE_FLAG_NM,USE_DAY_CO,WEEKDAY_BEGIN,WEEKDAY_END,WEEKEND,HOLIDAY,YEAR_END,BEGIN_AVG_WEEKDAY,END_AVG_WEEKDAY,AVG_MONTH,년도,월,계절,텍스트,유사공연_가중평균
32,올림픽홀,대중공연,세르지오 멘데스 내한공연,2012-05-08,2012-05-08,2600,1800,내부,1,1,1,0,0,0,5544.786885,6651.4375,7317.985075,2012년,5월,봄,올림픽홀 대중공연 세르지오 멘데스 내한공연 2012년 5월 봄 내부,3321.151767
33,올림픽홀,대중공연,The Chaser 쇼케이스,2012-05-15,2012-05-15,2600,2000,내부,1,1,1,0,0,0,5544.786885,6651.4375,7317.985075,2012년,5월,봄,올림픽홀 대중공연 The Chaser 쇼케이스 2012년 5월 봄 내부,2783.979218
34,핸드볼경기장,체육행사,2012 SK텔레콤 여자플러레 국제그랑프리대회 및 남자플러레 국제월드컵 A급 펜싱대회,2012-05-18,2012-05-20,1200,1200,내부,3,4,6,1,0,0,9870.415686,9046.74234,7317.985075,2012년,5월,봄,핸드볼경기장 체육행사 2012 SK텔레콤 여자플러레 국제그랑프리대회 및 남자플러레 국제월드컵 A급 펜싱대회 2012년 5월 봄 내부,12619.64548
35,88잔디마당,문화예술행사,서울재즈페스티벌 2012,2012-05-19,2012-05-20,17000,12817,외부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2012년,5월,봄,88잔디마당 문화예술행사 서울재즈페스티벌 2012 2012년 5월 봄 외부,27694.54877
36,올림픽홀,체육행사,2012 휠체어 테니스 세계선수권대회,2012-05-20,2012-05-20,500,700,내부,1,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2012년,5월,봄,올림픽홀 체육행사 2012 휠체어 테니스 세계선수권대회 2012년 5월 봄 내부,4298.647146
37,KSPO DOME(체조경기장),문화예술행사,슈퍼주니어 슈퍼쇼 앵콜콘서트,2012-05-26,2012-05-27,18000,16501,내부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2012년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 슈퍼주니어 슈퍼쇼 앵콜콘서트 2012년 5월 봄 내부,20943.90974
38,핸드볼경기장,문화예술행사,불후의 명곡 임태경콘서트,2012-05-26,2012-05-27,3991,3991,내부,2,5,6,1,0,0,6682.392273,9046.74234,7317.985075,2012년,5월,봄,핸드볼경기장 문화예술행사 불후의 명곡 임태경콘서트 2012년 5월 봄 내부,9154.786345
39,핸드볼경기장,체육행사,아시아태평양농아인경기대회(풋살),2012-05-29,2012-05-31,400,400,내부,3,1,3,0,0,0,5544.786885,3046.842105,7317.985075,2012년,5월,봄,핸드볼경기장 체육행사 아시아태평양농아인경기대회(풋살) 2012년 5월 봄 내부,6262.086225
40,KSPO DOME(체조경기장),문화예술행사,"패티김 마지막콘서트 ""이별""",2012-06-02,2012-06-02,8000,8977,내부,1,5,5,1,0,0,6682.392273,3467.288401,6191.480392,2012년,6월,여름,"KSPO DOME(체조경기장) 문화예술행사 패티김 마지막콘서트 ""이별"" 2012년 6월 여름 내부",17063.08339
41,올림픽홀,대중공연,이은미 2012 콘서트,2012-06-02,2012-06-03,6000,4500,내부,2,5,6,1,0,0,6682.392273,9046.74234,6191.480392,2012년,6월,여름,올림픽홀 대중공연 이은미 2012 콘서트 2012년 6월 여름 내부,3267.332575
42,평화의광장,공공행사,제1회 송파구청장배 한성백제마라톤대회,2012-06-03,2012-06-03,1000,1000,외부,1,6,6,1,0,0,4671.767123,9046.74234,6191.480392,2012년,6월,여름,평화의광장 공공행사 제1회 송파구청장배 한성백제마라톤대회 2012년 6월 여름 외부,14199.05003
43,KSPO DOME(체조경기장),공공행사,2012년 서울시 중.장년층 채용박람회,2012-06-11,2012-06-12,6000,5000,내부,2,0,1,0,0,0,4026.73913,6651.4375,6191.480392,2012년,6월,여름,KSPO DOME(체조경기장) 공공행사 2012년 서울시 중.장년층 채용박람회 2012년 6월 여름 내부,15560.90009
44,올림픽홀,대중공연,국민은행 평생사랑 콘서트,2012-06-14,2012-06-15,6000,4500,내부,2,3,4,0,0,0,15796.44595,2788.224138,6191.480392,2012년,6월,여름,올림픽홀 대중공연 국민은행 평생사랑 콘서트 2012년 6월 여름 내부,3352.145363
45,우리금융아트홀,문화예술행사,2012 옹달샘 공연,2012-06-22,2012-06-24,5000,3576,내부,3,4,6,1,0,0,9870.415686,9046.74234,6191.480392,2012년,6월,여름,우리금융아트홀 문화예술행사 2012 옹달샘 공연 2012년 6월 여름 내부,9594.330279
46,올림픽홀,대중공연,버스커버스커 첫번째 단독 콘서트,2012-06-22,2012-06-23,5600,5900,내부,2,4,5,1,0,0,9870.415686,3467.288401,6191.480392,2012년,6월,여름,올림픽홀 대중공연 버스커버스커 첫번째 단독 콘서트 2012년 6월 여름 내부,2564.54664
47,KSPO DOME(체조경기장),공공행사,2012년도 생활개선연합회 체조경기장 대관 요청,2012-06-25,2012-06-26,10000,7000,내부,2,0,1,0,0,0,4026.73913,6651.4375,6191.480392,2012년,6월,여름,KSPO DOME(체조경기장) 공공행사 2012년도 생활개선연합회 체조경기장 대관 요청 2012년 6월 여름 내부,12302.91199
48,올림픽홀,대중공연,2012 대중음악공연 프로젝트위탁운영 -  뮤즈라이브 35회공연(3월~6월),2012-06-30,2012-06-30,3500,3960,내부,1,5,5,1,0,0,6682.392273,3467.288401,6191.480392,2012년,6월,여름,올림픽홀 대중공연 2012 대중음악공연 프로젝트위탁운영 -  뮤즈라이브 35회공연(3월~6월) 2012년 6월 여름 내부,3667.266977
49,88호수수변무대,문화예술행사,스윗소로우 3집앨범 발매기념 콘서트,2012-07-01,2012-07-01,1000,2057,외부,1,6,6,1,0,0,4671.767123,9046.74234,6792.970874,2012년,7월,여름,88호수수변무대 문화예술행사 스윗소로우 3집앨범 발매기념 콘서트 2012년 7월 여름 외부,12348.8024
50,KSPO DOME(체조경기장),문화예술행사,MBC나는 가수다 앵콜공연,2012-07-06,2012-07-07,19500,11764,내부,2,4,5,1,0,0,9870.415686,3467.288401,6792.970874,2012년,7월,여름,KSPO DOME(체조경기장) 문화예술행사 MBC나는 가수다 앵콜공연 2012년 7월 여름 내부,12689.95828
51,핸드볼경기장,체육행사,2012 제 4회 박찬숙배 클럽대항 농구대회,2012-07-14,2012-07-14,2000,1700,내부,1,5,5,1,0,0,6682.392273,3467.288401,6792.970874,2012년,7월,여름,올림픽홀 대중공연 2012 리쌍극장 2012년 7월 여름 내부,3447.875131
52,KSPO DOME(체조경기장),체육행사,제25회 한국사회인검도대회,2012-07-14,2012-07-14,6000,5000,내부,1,5,5,1,0,0,6682.392273,3467.288401,6792.970874,2012년,7월,여름,핸드볼경기장 체육행사 2012 제 4회 박찬숙배 클럽대항 농구대회 2012년 7월 여름 내부,3716.039225
53,올림픽홀,대중공연,2012 리쌍극장,2012-07-14,2012-07-15,5600,5800,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2012년,7월,여름,KSPO DOME(체조경기장) 체육행사 제25회 한국사회인검도대회 2012년 7월 여름 내부,9554.900135
54,올림픽홀,대중공연,엠블랙콘서트,2012-07-21,2012-07-22,8000,4400,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2012년,7월,여름,KSPO DOME(체조경기장) 문화예술행사 샤이니월드투어 인 서울 2012년 7월 여름 내부,12597.3463
55,KSPO DOME(체조경기장),문화예술행사,샤이니월드투어 인 서울,2012-07-21,2012-07-22,15000,15370,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2012년,7월,여름,올림픽홀 대중공연 엠블랙콘서트 2012년 7월 여름 내부,3681.941264
56,올림픽홀,대중공연,박정현 단독 콘서트,2012-07-28,2012-07-29,8000,4900,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2012년,7월,여름,KSPO DOME(체조경기장) 문화예술행사 2NE1단독 콘서트 2012년 7월 여름 내부,10535.72599
57,KSPO DOME(체조경기장),문화예술행사,2NE1단독 콘서트,2012-07-28,2012-07-29,22000,13357,내부,2,5,6,1,0,0,6682.392273,9046.74234,6792.970874,2012년,7월,여름,올림픽홀 대중공연 박정현 단독 콘서트 2012년 7월 여름 내부,3847.127386
58,KSPO DOME(체조경기장),문화예술행사,2012 JYP NATION 콘서트,2012-08-04,2012-08-04,9300,6289,내부,1,5,5,1,0,0,6682.392273,3467.288401,7725.131868,2012년,8월,여름,KSPO DOME(체조경기장) 문화예술행사 2012 JYP NATION 콘서트 2012년 8월 여름 내부,20575.54469
59,올림픽홀,대중공연,2012 핑크 플레이 콘서트,2012-08-08,2012-08-08,2500,3000,내부,1,2,2,0,0,0,4465.204819,5102.242857,7725.131868,2012년,8월,여름,올림픽홀 대중공연 2012 핑크 플레이 콘서트 2012년 8월 여름 내부,3793.103537
60,핸드볼경기장,공공행사,1000인의 원탁회의,2012-08-09,2012-08-09,1500,1000,내부,1,3,3,0,0,0,15796.44595,3046.842105,7725.131868,2012년,8월,여름,핸드볼경기장 공공행사 1000인의 원탁회의 2012년 8월 여름 내부,5638.677666
61,올림픽홀,대중공연,"슈퍼버라이티 리믹스 콘서트 ""청춘 나이트""",2012-08-11,2012-08-12,4000,5200,내부,2,5,6,1,0,0,6682.392273,9046.74234,7725.131868,2012년,8월,여름,"올림픽홀 대중공연 슈퍼버라이티 리믹스 콘서트 ""청춘 나이트"" 2012년 8월 여름 내부",4121.970614
62,핸드볼경기장,문화예술행사,올림픽공원 기획대관  슈퍼소닉 2012,2012-08-14,2012-08-15,30000,16344,내부,2,1,2,0,1,0,5544.786885,5102.242857,7725.131868,2012년,8월,여름,핸드볼경기장 문화예술행사 올림픽공원 기획대관  슈퍼소닉 2012 2012년 8월 여름 내부,10546.33839
63,올림픽수영장,체육행사,K-water 사장배 전국 마스터즈 수영대회,2012-08-18,2012-08-19,3000,3000,내부,2,5,6,1,0,0,6682.392273,9046.74234,7725.131868,2012년,8월,여름,올림픽홀 대중공연 박재범 라이브 콘서트 2012년 8월 여름 내부,3497.472474
64,올림픽홀,대중공연,박재범 라이브 콘서트,2012-08-18,2012-08-18,4000,2000,내부,1,5,5,1,0,0,6682.392273,3467.288401,7725.131868,2012년,8월,여름,올림픽수영장 체육행사 K-water 사장배 전국 마스터즈 수영대회 2012년 8월 여름 내부,4214.837149
65,KSPO DOME(체조경기장),문화예술행사,올댓스케이트섬머 2012(가제),2012-08-24,2012-08-26,30000,26541,내부,3,4,6,1,0,0,9870.415686,9046.74234,7725.131868,2012년,8월,여름,KSPO DOME(체조경기장) 문화예술행사 올댓스케이트섬머 2012(가제) 2012년 8월 여름 내부,18579.11177
66,올림픽홀,대중공연,울랄라세션 첫번째 콘서트,2012-08-25,2012-08-26,5000,5800,내부,2,5,6,1,0,0,6682.392273,9046.74234,7725.131868,2012년,8월,여름,올림픽홀 대중공연 울랄라세션 첫번째 콘서트 2012년 8월 여름 내부,4492.2786
67,올림픽홀,대중공연,2012 FT 아일랜드 콘서트,2012-09-01,2012-09-02,5400,4200,내부,2,5,6,1,0,0,6682.392273,9046.74234,5362.772727,2012년,9월,가을,우리금융아트홀 문화예술행사 소녀시대 팬미팅 2012년 9월 가을 내부,7076.318281
68,우리금융아트홀,문화예술행사,소녀시대 팬미팅,2012-09-01,2012-09-01,1000,800,내부,1,5,5,1,0,0,6682.392273,3467.288401,5362.772727,2012년,9월,가을,올림픽홀 대중공연 2012 FT 아일랜드 콘서트 2012년 9월 가을 내부,3696.54598
69,88호수수변무대,문화예술행사,디 아티스트 2012,2012-09-02,2012-09-03,2500,2165,외부,2,6,0,1,0,0,4671.767123,19989.09615,5362.772727,2012년,9월,가을,88호수수변무대 문화예술행사 디 아티스트 2012 2012년 9월 가을 외부,15752.61596
70,올림픽홀,대중공연,일단은... 파티(뮤즈라이브 기획공연),2012-09-02,2012-09-02,150,119,내부,1,6,6,1,0,0,4671.767123,9046.74234,5362.772727,2012년,9월,가을,올림픽홀 대중공연 일단은... 파티(뮤즈라이브 기획공연) 2012년 9월 가을 내부,3771.193977
71,평화의광장,공공행사,2012 찾아가는 희망 취업박람회(장애인박람회포함),2012-09-05,2012-09-05,500,500,외부,1,2,2,0,0,0,4465.204819,5102.242857,5362.772727,2012년,9월,가을,평화의광장 공공행사 2012 찾아가는 희망 취업박람회(장애인박람회포함) 2012년 9월 가을 외부,13657.06242
72,88잔디마당,문화예술행사,2012 파크콘서트,2012-09-08,2012-09-08,7000,6671,외부,1,5,5,1,0,0,6682.392273,3467.288401,5362.772727,2012년,9월,가을,88잔디마당 문화예술행사 2012 파크콘서트 2012년 9월 가을 외부,15684.09956
73,올림픽홀,대중공연,씨스타 콘서트,2012-09-15,2012-09-15,5000,2600,내부,1,5,5,1,0,0,6682.392273,3467.288401,5362.772727,2012년,9월,가을,올림픽홀 대중공연 씨스타 콘서트 2012년 9월 가을 내부,4358.386759
74,올림픽홀,대중공연,IBK 참 좋은 음악회,2012-09-24,2012-09-25,3000,5000,내부,2,0,1,0,0,0,4026.73913,6651.4375,5362.772727,2012년,9월,가을,올림픽홀 대중공연 IBK 참 좋은 음악회 2012년 9월 가을 내부,4084.0759
75,핸드볼경기장,문화예술행사,킨(KEANE) 내한공연,2012-09-24,2012-09-24,5000,3293,내부,1,0,0,0,0,0,4026.73913,19989.09615,5362.772727,2012년,9월,가을,핸드볼경기장 문화예술행사 킨(KEANE) 내한공연 2012년 9월 가을 내부,6900.226262
76,핸드볼경기장,공공행사,제 3회 대한민국 나눔대축제,2012-10-06,2012-10-07,69500,200,내부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,한얼광장 공공행사 제3회 대한민국 나눔대축제 2012년 10월 가을 외부,12200.73166
77,몽촌해자수변무대A,공공행사,제3회 대한민국 나눔대축제,2012-10-06,2012-10-07,600,600,외부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,평화의광장 공공행사 제3회 대한민국 나눔대축제 2012년 10월 가을 외부,12660.04301
78,평화의광장,공공행사,제3회 대한민국 나눔대축제,2012-10-06,2012-10-07,30000,30000,외부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,몽촌해자수변무대A 공공행사 제3회 대한민국 나눔대축제 2012년 10월 가을 외부,11955.31771
79,한얼광장,공공행사,제3회 대한민국 나눔대축제,2012-10-06,2012-10-07,15000,15000,외부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,핸드볼경기장 공공행사 제 3회 대한민국 나눔대축제 2012년 10월 가을 내부,1562.855939
80,몽촌해자수변무대A,공공행사,제3회 나눔국민운동본부(최종),2012-10-06,2012-10-07,60600,60600,외부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,몽촌해자수변무대A 공공행사 제3회 나눔국민운동본부(최종) 2012년 10월 가을 외부,12014.34788
81,만남의광장,공공행사,제3회 대한민국 나눔축제,2012-10-06,2012-10-07,15000,15000,외부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,만남의광장 공공행사 제3회 대한민국 나눔축제 2012년 10월 가을 외부,12292.35196
82,올림픽홀,대중공연,국민작곡가 박시춘 탄생 100주년 헌정공연,2012-10-09,2012-10-09,2000,2500,내부,1,1,1,0,0,0,5544.786885,6651.4375,10281.05325,2012년,10월,가을,올림픽홀 대중공연 국민작곡가 박시춘 탄생 100주년 헌정공연 2012년 10월 가을 내부,3863.071232
83,핸드볼경기장,문화예술행사,그랜드민트페스티벌 2012,2012-10-20,2012-10-21,4000,11500,내부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,핸드볼경기장 문화예술행사 그랜드민트페스티벌 2012 2012년 10월 가을 내부,8606.371664
84,올림픽홀,대중공연,그랜드민트페스티벌2012,2012-10-20,2012-10-21,5000,5000,내부,2,5,6,1,0,0,6682.392273,9046.74234,10281.05325,2012년,10월,가을,올림픽홀 대중공연 그랜드민트페스티벌2012 2012년 10월 가을 내부,3666.825993
85,우리금융아트홀,문화예술행사,삼성전자 블루콘서트,2012-10-20,2012-10-20,1100,950,내부,1,5,5,1,0,0,6682.392273,3467.288401,10281.05325,2012년,10월,가을,우리금융아트홀 문화예술행사 삼성전자 블루콘서트 2012년 10월 가을 내부,5700.933614
86,핸드볼경기장,공공행사,2012 간호정책 선포식,2012-10-25,2012-10-25,5000,4700,내부,1,3,3,0,0,0,15796.44595,3046.842105,10281.05325,2012년,10월,가을,핸드볼경기장 공공행사 2012 간호정책 선포식 2012년 10월 가을 내부,6814.956336
87,우리금융아트홀,문화예술행사,송파구립 교향악단 및 합창단 합동공연,2012-10-30,2012-10-30,1000,1100,내부,1,1,1,0,0,0,5544.786885,6651.4375,10281.05325,2012년,10월,가을,우리금융아트홀 문화예술행사 송파구립 교향악단 및 합창단 합동공연 2012년 10월 가을 내부,5240.315899
88,올림픽홀,대중공연,KB 10월의 마지막 밤 콘서트,2012-10-31,2012-10-31,3200,1876,내부,1,2,2,0,0,0,4465.204819,5102.242857,10281.05325,2012년,10월,가을,올림픽홀 대중공연 KB 10월의 마지막 밤 콘서트 2012년 10월 가을 내부,3714.846457
89,우리금융아트홀,문화예술행사,카자흐스탄공화국-대한민국 수교 20주년 기념 문화공연,2012-11-02,2012-11-02,800,750,내부,1,4,4,0,0,0,9870.415686,2788.224138,5637.125,2012년,11월,가을,우리금융아트홀 문화예술행사 카자흐스탄공화국-대한민국 수교 20주년 기념 문화공연 2012년 11월 가을 내부,4566.851677
